CHFId,EmergencyTypeId,EmergencyPercent
27627,17,50
27643,27,100
27645,27,100
27649,17,100
27650,27,100
27668,27,100
27680,27,80
27680,17,20
27686,27,100
27692,17,100
27702,17,100
27710,27,85
27710,17,15
27717,27,75
27717,17,25
27729,17,100
27735,17,100
27025,15,100
27026,15,100
27027,15,100
27028,15,100
27036,15,100
27053,15,100
27076,15,100
27024,15,100
27029,15,100
27033,15,100
27041,15,100
27059,15,100
25224,15,100
25228,15,100
25241,15,100
25256,15,100
25265,15,100
25308,15,100
25320,15,100
25359,15,100
25361,15,100
25375,15,100
25411,15,100
25413,15,100
25440,15,100
25446,15,100
25448,15,100
25450,15,100
25453,15,100
25246,15,100
25324,15,100
25347,15,100
25351,15,100
25367,15,100
25387,15,100
25390,15,100
25396,15,100
25397,15,100
25405,15,100
25409,15,100
25410,15,100
25428,15,100
25429,15,100
25449,15,100
25472,15,100
25481,15,100
25487,15,100
27841,16,100
27903,16,100
27905,16,100
27925,16,100
27957,16,100
27960,16,100
27974,16,100
27985,16,100
27988,16,100
28019,16,100
28135,16,100
28140,16,100
28206,16,100
28211,16,100
28215,16,100
28243,16,100
28250,16,100
28277,16,100
28284,16,100
28299,16,100
28315,16,100
28316,16,100
28336,16,100
27835,16,100
27912,16,100
27947,16,100
28055,16,100
28114,16,100
28202,16,100
28209,16,100
28226,16,100
28288,16,100
28296,16,100
28306,16,100
28312,16,100
28314,16,100
28335,16,100
26049,16,100
26050,16,100
26051,16,100
26052,16,100
26056,16,100
26066,16,100
26073,16,100
26078,16,100
26094,16,100
26101,16,100
25310,4,100
25314,4,100
25317,4,100
25336,4,100
27008,17,100
25701,4,100
25707,4,100
27009,17,100
25679,4,100
25691,4,100
25708,4,100
26297,16,100
25422,16,100
25454,16,100
25491,16,100
25521,16,100
25573,16,100
25574,16,100
25636,16,100
25640,16,100
25645,16,100
25650,16,100
25657,16,100
25658,16,100
25684,16,100
25692,16,100
25699,16,100
25709,16,100
26856,16,100
26857,16,100
26864,16,100
26884,16,100
26918,16,100
26978,16,100
27004,16,100
27013,16,100
25458,16,100
25459,16,100
25461,16,100
25488,16,100
25500,16,100
25550,16,100
25648,16,100
25677,16,100
25693,16,100
25700,16,100
26854,16,100
26920,16,100
26949,16,100
26950,16,100
26951,16,100
26982,16,100
27007,16,100
27014,16,100
25598,16,100
27833,16,100
27837,16,100
27856,16,100
27879,16,100
27840,16,100
27682,16,100
27691,16,100
27738,16,100
32657,17,100
32661,17,100
32703,17,100
32783,17,100
32793,17,100
32794,17,100
32799,17,100
32820,17,100
32821,17,100
32652,17,100
32656,17,100
32666,17,100
32670,17,100
32694,17,100
32732,17,100
32748,17,100
32790,17,100
32798,17,100
32801,17,100
32811,17,100
32816,17,100
32822,17,100
32824,17,100
27629,16,100
25887,16,100
25907,16,100
25910,16,100
25911,16,100
25925,16,100
25926,16,100
25928,16,100
25934,16,100
25941,16,100
25954,16,100
25956,16,100
25889,16,100
25894,16,100
25895,16,100
25898,16,100
25923,16,100
25936,16,100
27677,16,100
32650,16,60
32650,28,15
32650,31,25
32687,16,100
25680,27,100
25682,27,100
25695,27,100
25697,27,100
25706,27,100
25712,27,100
25713,27,100
25715,27,100
25746,27,100
25669,27,100
25671,27,100
25673,27,100
25675,27,100
25685,27,100
25686,27,100
25688,27,100
25696,27,100
25702,27,100
25704,27,100
27149,16,100
27161,16,100
27167,16,100
27185,16,100
27208,16,100
27099,16,100
27116,16,100
27128,16,100
27132,16,100
27137,16,100
27151,16,100
27152,16,100
27186,16,100
27230,16,100
27285,16,100
27314,16,100
27316,16,100
27323,16,100
27324,16,100
27339,16,100
27346,16,100
27392,16,100
27403,16,100
27424,16,100
27427,16,100
27188,16,100
27194,16,100
27406,16,100
27613,16,100
32707,27,100
32709,27,100
32710,27,100
32716,27,100
32717,27,100
32730,27,100
32752,27,100
32766,27,100
33436,5,100
33437,5,50
33437,9,50
33438,5,50
33438,9,50
33440,9,100
32706,27,100
32711,27,100
32712,27,100
32715,27,100
32719,27,100
32725,27,100
32729,27,100
32742,27,100
32756,27,100
33439,5,50
33439,9,50
26799,16,50
26799,17,50
26800,16,100
26805,16,50
26805,17,50
26806,16,100
26809,16,100
26810,16,100
26814,16,100
26827,18,80
26827,16,20
27340,16,100
27343,17,100
27350,17,100
27352,16,100
27355,17,100
27356,17,100
27357,17,100
27358,17,100
27360,16,100
27361,16,100
27364,16,100
27365,16,100
27366,16,100
27367,17,100
27374,16,100
27376,16,100
27386,16,50
27386,17,50
27387,16,50
27387,17,50
27388,16,100
27389,16,100
27390,16,100
27391,16,100
27400,16,100
27401,16,100
27408,16,50
27408,17,50
27409,16,50
27409,17,50
27410,16,100
27411,16,100
27412,16,100
27413,16,100
26801,16,100
26802,16,100
26803,17,100
26808,16,100
26811,16,100
26812,18,100
26815,16,100
26816,16,100
26842,18,100
27416,16,100
27344,16,100
27349,16,100
27353,16,100
27375,16,100
27377,17,100
27381,16,100
27396,17,100
27398,16,100
27399,16,100
27404,17,100
27405,16,50
27405,17,50
24527,28,100
24531,28,100
24538,28,100
24540,28,100
24552,28,100
24583,28,100
24591,28,100
24592,28,100
24596,28,100
24606,28,100
24636,28,100
24655,28,100
24666,28,100
24671,28,100
24682,28,100
24688,28,100
24689,28,100
24697,28,100
24700,28,100
24733,28,100
24744,28,100
24746,28,100
26700,28,100
26701,28,100
26705,28,100
26775,28,100
26778,28,100
26851,28,100
26853,28,100
26896,28,100
26900,28,100
26916,28,100
26919,28,100
26925,28,100
24654,28,100
24664,28,100
24665,28,100
24672,28,100
24675,28,100
24679,28,100
24687,28,100
24691,28,100
24702,28,100
24705,28,100
24706,28,100
24712,28,100
24722,28,100
24738,28,100
26885,28,100
26894,28,100
24715,28,100
27652,17,100
27654,17,100
27656,16,100
27658,17,100
27660,17,50
27660,16,50
27852,16,100
27859,16,100
27969,16,100
27651,17,100
27655,17,100
27657,16,100
27659,17,100
27661,17,100
27760,16,100
27762,16,100
27764,16,100
27774,16,100
27775,16,100
27778,16,100
27784,16,100
27789,16,100
27792,16,100
27850,16,100
27860,16,100
27877,16,100
27540,17,100
24790,18,100
25208,5,100
25209,5,100
25711,28,100
26541,5,100
26562,5,100
26571,5,100
26572,5,100
26580,5,100
26594,5,100
26596,5,100
26651,5,100
26685,5,100
27080,5,100
27148,5,100
27164,5,100
24782,18,100
24792,18,100
25205,5,100
25206,5,100
25207,5,100
25210,5,100
25218,5,100
26532,5,100
26534,5,100
26535,5,100
26536,5,100
26537,5,100
26539,5,100
26540,5,100
26542,5,100
26544,5,100
26546,5,100
26547,5,100
26549,5,100
26551,5,100
26553,5,100
26554,5,100
26561,5,100
26570,5,100
26573,5,100
26578,5,100
26583,5,100
26587,5,100
26597,5,100
26613,5,100
26614,5,100
26618,5,100
27071,5,100
27072,5,100
27073,5,100
27075,5,100
27081,5,100
27082,5,100
27083,5,100
27084,5,100
27085,5,100
27098,5,100
27106,5,100
27143,5,100
27144,5,100
27146,5,100
27147,5,100
27156,5,100
27162,5,100
24517,28,100
26849,28,100
27320,5,100
25029,27,100
25059,27,100
25082,27,100
25083,27,100
25084,27,100
25090,27,100
25110,27,100
25119,27,100
25131,27,100
25156,27,100
25173,27,100
25180,27,100
25010,27,100
25011,27,100
25013,27,100
25014,27,100
25016,27,100
25017,27,100
25018,27,100
25019,27,100
25020,27,100
25021,27,100
25023,27,100
25026,27,100
25027,27,100
25028,27,100
25034,27,100
25035,27,100
25037,27,100
25040,27,100
25044,27,100
25049,27,100
25050,27,100
25055,27,100
25058,27,100
25060,27,100
25067,27,100
25070,27,100
25075,27,100
25076,27,100
25078,27,100
25095,27,100
25096,27,100
25103,27,100
25117,27,100
25125,27,100
25128,27,100
25132,27,100
25135,27,100
25143,27,100
25153,27,100
25155,27,100
25159,27,100
25171,27,100
25172,27,100
27583,5,100
27585,5,100
27588,5,100
33309,28,100
33315,28,100
27581,5,100
27582,5,100
27584,5,100
27586,5,100
27587,5,100
28082,5,100
28100,5,100
28102,5,100
28110,5,100
28111,5,100
28129,5,100
28193,5,100
28221,5,100
28311,5,100
28000,5,100
28005,5,100
28006,5,100
28024,5,100
28027,5,100
28030,5,100
28031,5,100
28032,5,100
28034,5,100
28037,5,100
28040,5,100
28043,5,100
28045,5,100
28047,5,100
28052,5,100
28053,5,100
28063,5,100
28067,5,100
28068,5,100
28076,5,100
28079,5,100
28085,5,100
28088,5,100
28091,5,100
28092,5,100
28109,5,100
28119,5,100
28122,5,100
28130,5,100
28133,5,100
28134,5,100
28143,5,100
28162,5,100
28164,5,100
28165,5,100
28178,5,100
28185,5,100
28207,5,100
28216,5,100
28227,5,100
28233,5,100
28234,5,100
28236,5,100
28237,5,100
28245,5,100
28252,5,100
28253,5,100
28256,5,100
28271,5,100
28276,5,100
28278,5,100
28324,5,100
27992,5,100
25345,5,100
25346,5,100
25360,5,100
25362,5,100
25366,5,100
25371,5,100
25376,5,100
25399,5,100
25537,5,100
25539,5,100
25544,5,100
25552,5,100
25554,5,100
25557,5,100
25559,5,100
25568,5,100
25577,5,100
25622,5,100
25792,16,100
25795,16,100
25797,16,100
25819,16,100
25829,16,100
26422,16,100
26513,16,100
26559,16,100
25356,5,100
25358,5,100
25402,5,100
25543,5,100
25546,5,100
25565,5,100
25566,5,100
25619,5,100
25831,16,100
26489,16,100
26509,16,100
26577,16,100
25192,5,100
25195,5,100
25196,5,100
25198,5,100
25200,5,100
25202,17,100
25373,5,100
25382,5,100
25393,5,100
25398,5,100
25401,5,100
25403,5,100
25556,5,100
25591,5,100
25608,5,100
25785,16,100
25787,16,100
26495,16,100
27492,16,100
27496,16,100
27498,16,100
27499,16,100
27500,16,100
27501,16,100
27502,16,100
27537,16,100
27497,16,100
27493,16,100
27494,16,100
27495,16,100
32713,16,100
32731,16,100
32734,16,100
32755,16,100
32803,16,60
32803,27,40
32813,16,100
32840,16,100
32844,16,100
32856,16,100
32861,16,100
32903,16,100
32919,27,50
32919,16,50
32810,16,50
32810,27,50
32925,27,25
32925,16,75
32960,27,80
32960,16,20
24811,16,100
24822,16,100
24841,31,100
25583,17,100
25584,17,100
25585,17,100
25586,17,100
25587,17,100
25606,17,100
25607,17,100
25629,17,100
25651,17,100
25660,17,100
25665,17,100
25666,17,100
25668,17,100
25694,17,100
25716,17,100
25731,17,100
25736,17,100
25737,17,100
25742,17,100
25755,17,100
25756,17,100
25758,17,100
25759,17,100
25793,17,100
25822,17,100
25824,17,100
26403,17,100
26863,17,100
26865,17,100
27174,9,100
27178,9,100
27182,9,100
27202,9,100
27276,17,100
27277,17,100
27453,9,100
27482,9,100
27483,9,100
27513,9,100
27514,17,100
27516,9,100
27517,9,100
27520,9,100
27541,9,100
27542,17,100
27543,17,100
27545,17,100
27546,17,100
27548,17,100
27549,9,100
27550,9,100
27551,9,100
27552,9,100
27555,9,100
27556,17,100
27557,17,100
27560,9,100
27561,17,100
27563,9,100
27564,17,100
27565,17,100
27566,17,100
25661,17,100
25662,17,100
25667,17,100
25739,17,100
27213,9,100
27448,9,100
27547,9,100
27558,9,100
26418,17,100
24835,5,35
24835,16,30
24835,15,20
24835,17,15
26024,17,100
26165,17,100
26862,17,100
27180,9,100
27263,9,100
27589,16,100
27591,17,50
27591,16,50
27592,17,100
27593,16,50
27593,17,50
27594,16,50
27594,17,50
27597,17,100
27598,16,100
27599,17,100
27600,17,100
27601,16,100
27602,17,100
27603,16,100
27605,16,100
27606,16,100
27607,16,100
27608,16,100
27610,16,100
27611,16,100
27615,17,100
27616,16,50
27616,17,50
27618,17,100
27619,16,100
27622,16,100
27624,16,100
27943,16,50
27943,17,50
32787,30,100
33281,17,100
33295,17,100
33345,17,100
33356,16,100
33368,16,100
33389,17,100
33400,16,100
33404,16,100
33411,17,100
33513,16,100
32829,16,100
32929,17,100
24638,1,100
24647,1,100
24656,1,100
24808,1,100
24809,1,100
24810,1,100
24820,1,100
24832,1,100
24836,1,100
24837,1,100
24839,1,100
24842,1,100
24843,1,100
24875,1,100
24878,1,100
24901,1,100
24902,1,100
24904,1,100
24905,1,100
24917,1,100
24940,1,100
24946,1,100
24948,1,100
24952,1,100
24962,1,100
24986,1,100
24650,1,100
24831,1,100
24840,1,100
24852,1,100
24862,1,100
24874,1,100
24884,1,100
24897,1,100
24911,1,100
24913,1,100
24920,1,100
24922,1,100
24932,1,100
24933,1,100
24936,1,100
24944,1,100
24951,1,100
24957,1,100
24959,1,100
24961,1,100
24663,1,100
24677,1,100
24844,1,100
24845,1,100
24883,1,100
24886,1,100
24891,1,100
24896,1,100
24898,1,100
24908,1,100
24930,1,100
24958,1,100
26046,18,100
27485,18,100
26488,18,100
26491,18,100
26493,18,100
26500,18,100
26502,18,100
26516,18,100
26517,18,100
26526,18,100
26528,18,100
26557,18,100
26560,18,100
26564,18,100
26565,18,100
26579,18,100
26590,18,100
26599,18,100
26601,18,100
26605,18,100
26615,18,100
26638,18,100
26654,18,100
26686,18,100
